oper_data;oper_cv;oper_corret;oper_tipo;oper_ticker;oper_qtd;oper_preco_unit;oper_valor;oper_taxas;oper_ir;oper_moeda
18/04/2016;C;MyCap;Ação;CSNA3;100;12,18;1218;2,73;0;BRL
18/04/2016;C;MyCap;Ação;GGBR4;100;7,52;752;0;0;BRL
18/04/2016;C;MyCap;Ação;PETR4;100;9,34;934;0;0;BRL
18/04/2016;C;MyCap;Ação;VALE5;100;14,42;1442;0;0;BRL
22/04/2016;C;MyCap;Ação;VALE5;100;15,34;1534;0;0;BRL
03/05/2016;C;MyCap;Ação;PETR4;200;9,8;1960;11,28;0;BRL
03/05/2016;C;MyCap;Ação;USIM5;600;2,33;1398;0;0;BRL
18/05/2016;C;MyCap;Ação;QUAL3;100;15,9;1590;10,98;0;BRL
18/05/2016;C;MyCap;Ação;USIM5;400;2,07;828;0;0;BRL
20/05/2016;C;MyCap;Ação;CSNA3;100;7,68;768;21,55;0;BRL
20/05/2016;C;MyCap;Ação;PETR4;100;9,25;925;0;0;BRL
20/05/2016;C;MyCap;Ação;PETR4;75;9,11;683,25;0;0;BRL
20/05/2016;C;MyCap;Ação;VALE5;100;12;1200;0;0;BRL
16/06/2016;C;MyCap;Ação;PETR4;100;8,44;844;10,88;0;BRL
17/06/2016;C;MyCap;Ação;CSNA3;100;7,33;733;11,01;0;BRL
17/06/2016;C;MyCap;Ação;QUAL3;100;18,02;1802;0;0;BRL
06/07/2016;C;MyCap;Ação;ABEV3;100;19,05;1905;5,71;0;BRL
08/07/2016;C;MyCap;Ação;BBAS3;100;17,08;1708;5,64;0;BRL
11/07/2016;V;MyCap;Ação;ABEV3;-100;19,39;1939;54,56;0;BRL
11/07/2016;V;MyCap;Ação;BBAS3;-100;18;1800;0;0;BRL
11/07/2016;V;MyCap;Ação;CSNA3;-300;9,1;2730;0;0;BRL
11/07/2016;V;MyCap;Ação;GGBR4;-100;6,28;628;0;0;BRL
11/07/2016;V;MyCap;Ação;PETR4;-500;10,35;5175;0;0;BRL
11/07/2016;V;MyCap;Ação;PETR4;-75;10,32;774;0;0;BRL
11/07/2016;V;MyCap;Ação;QUAL3;-200;19,74;3948;0;0;BRL
11/07/2016;V;MyCap;Ação;USIM5;-1000;2,06;2060;0;0;BRL
11/07/2016;V;MyCap;Ação;VALE5;-300;13,48;4044;0;0;BRL
21/07/2016;C;MyCap;Ação;PETR4;300;11,77;3531;19,47;0;BRL
21/07/2016;C;MyCap;Ação;QUAL3;300;21,78;6534;0;0;BRL
21/07/2016;C;MyCap;Ação;VALE5;200;13,95;2790;0;0;BRL
03/08/2016;C;MyCap;Ação;CSNA3;200;10,29;2058;11,24;0;BRL
03/08/2016;C;MyCap;Ação;PETR4;100;11,7;1170;5,58;0;BRL
04/08/2016;C;MyCap;Ação;VALE5;100;15,2;1520;0;0;BRL
22/08/2016;V;MyCap;Ação;CSNA3;-200;9,78;1956;5,72;0;BRL
23/08/2016;C;MyCap;Ação;ITSA4;200;8,54;1708;5,64;0;BRL
06/09/2016;C;MyCap;Ação;ABEV3;100;19,87;1987;11,46;0;BRL
06/09/2016;C;MyCap;Ação;USIM5;500;3,87;1935;0;0;BRL
14/09/2016;C;MyCap;Ação;CSNA3;300;8,23;2469;5,89;0;BRL
22/09/2016;C;MyCap;Ação;BBAS3;200;23,67;4734;19,15;0;BRL
22/09/2016;V;MyCap;Ação;QUAL3;-300;20,1;6030;0;0;BRL
22/09/2016;C;MyCap;Ação;USIM5;300;3,72;1116;0;0;BRL
23/09/2016;V;MyCap;Ação;BBAS3;-100;23,17;2317;16,76;0;BRL
23/09/2016;C;MyCap;Ação;ITSA4;100;8,5;850;0;0;BRL
23/09/2016;C;MyCap;Ação;PETR4;100;13,66;1366;0;0;BRL
04/10/2016;C;MyCap;Ação;GFSA3;100;2,55;255;5,18;0;BRL
05/10/2016;V;MyCap;Ação;ABEV3;-100;19,65;1965;16,68;0;BRL
05/10/2016;V;MyCap;Ação;GFSA3;-100;2,61;261;0;0;BRL
05/10/2016;C;MyCap;Ação;QUAL3;100;20,5;2050;0;0;BRL
18/10/2016;C;MyCap;Ação;PETR4;100;17,26;1726;17,04;0;BRL
18/10/2016;V;MyCap;Ação;QUAL3;-100;19,46;1946;0;0;BRL
18/10/2016;C;MyCap;Ação;VALE5;100;17,15;1715;0;0;BRL
26/10/2016;V;MyCap;Ação;BBAS3;-100;27,19;2719;17,05;0;BRL
26/10/2016;C;MyCap;Ação;ITSA4;100;8,86;886;0;0;BRL
26/10/2016;C;MyCap;Ação;PETR4;100;17,96;1796;0;0;BRL
01/11/2016;C;MyCap;Ação;PETR4;100;15,46;1546;27,79;0;BRL
01/11/2016;C;MyCap;Ação;USIM5;100;4,32;432;0;0;BRL
01/11/2016;C;MyCap;Ação;VALE5;100;20,59;2059;0;0;BRL
04/11/2016;C;MyCap;Ação;PETR4;200;16,35;3270;12,38;0;BRL
