oper_data;oper_cv;oper_corret;oper_nome;oper_qtd;oper_preco_unit;oper_valor
18/09/2019;Aplicação;Vitreo;Vitreo PGBL FoF SuperPrevidência 2;9887,76985701;1,0113504;10000
16/10/2019;Aplicação;XP;XP Equitas Selection;735,30305693;6,79991733;5000
03/12/2019;Aplicação;Vitreo;Vitreo Exponencial Light;1997,89735289;1,00105243;2000
27/12/2019;Aplicação;XP;XP Alaska Black;1521,65486053;2,628717;4000
27/12/2019;Aplicação;XP;XP Indie;1528,08459;3,9264842;6000
03/01/2020;Aplicação;XP;XP Alaska Black;369,42766867;2,70688983;1000
03/01/2020;Aplicação;XP;XP Equitas Selection;127,93246607;7,81662412;1000
06/01/2020;Aplicação;Orama;Orama Trigono Flagship SmallCaps;2953,7523608;2,0313145;6000
13/01/2020;Aplicação;Vitreo;Vitreo Oportunidades de Uma Vida;4850,85131131;1,03074691;5000
24/01/2020;Resgate;Vitreo;Vitreo Exponencial Light;-1997,89735289;1,04579447;2089,39
05/02/2020;Aplicação;Vitreo;Vitreo Oportunidades de Uma Vida;2033,84464704;1,03252724;2100
03/03/2020;Aplicação;Vitreo;Vitreo Ouro;4460,51896532;1,1209458;5000
02/04/2020;Aplicação;Vitreo;Vitreo Ouro;1939,97659643;1,28867534;2500
05/05/2020;Aplicação;Vitreo;Vitreo Ouro;695,44644755;1,43792524;1000
29/05/2020;Come-Cotas;Vitreo;Vitreo Ouro;-149,20484327;1,38742145;207,01
01/07/2020;Aplicação;Vitreo;Vitreo Dolar;2345,11469553;1,06604594;2500
01/07/2020;Aplicação;Vitreo;Vitreo Ouro;1770,10174807;1,41234819;2500
01/07/2020;Aplicação;Vitreo;Vitreo Tech Select;6217,44998395;1,1258635;7000
02/07/2020;Aplicação;XP;XP Indie;280,57365;3,56412657;1000
02/09/2020;Aplicação;Vitreo;Vitreo Ouro;1308,54633398;1,52841359;2000
02/09/2020;Aplicação;Vitreo;Vitreo Tech Select;1560,87839368;1,2813298;2000
29/10/2020;Aplicação;Vitreo;Vitreo Tech Asia;2914,29778781;1,0294075;3000
04/01/2021;Aplicação;XP;XP Indie;1653,69769;4,05152649;6700
18/02/2021;Aplicação;Vitreo;Vitreo PGBL FoF SuperPrevidência 2;31324,10388004;1,1173504;35000
18/02/2021;Aplicação;XP;XP Moat Capital Equity Hedge;11789,32337654;1,6964502;20000
18/02/2021;Aplicação;XP;XP Trend Ouro;4896,33850229;1,83810821;9000
18/02/2021;Aplicação;XP;XP Trend Ouro Dolar;6005,3665557;1,49865956;9000
31/05/2021;Come-Cotas;Vitreo;Vitreo Ouro;-39,94785562;1,44037769;57,54
07/07/2021;Aplicação;Vitreo;Vitreo Agro;3012,22662788;0,995941;3000
22/07/2021;Aplicação;Orama;Orama Trigono 60 Flagship;1455,7738948;3,4345993;5000
22/07/2021;Aplicação;Vitreo;Vitreo Uranio;1793,14671876;1,1153577;2000
07/10/2021;Aplicação;Vitreo;Vitreo Coin NFT;2337,10429783;1,0696998;2500
30/11/2021;Come-Cotas;Vitreo;Vitreo Coin NFT;-50,25851181;1,2487437;62,76
30/11/2021;Come-Cotas;Vitreo;Vitreo Dolar;-20,00285737;1,13033851;22,61
30/11/2021;Come-Cotas;Vitreo;Vitreo Ouro;-3,21338448;1,44396042;4,64
30/11/2021;Come-Cotas;Vitreo;Vitreo Uranio;-71,71421566;1,5208979;109,07
