rf_data;rf_oper;rf_corret;rf_tipo;rf_nome;rf_valor_deb;rf_valor_cred;rf_moeda
01/01/2016;Saldo Inicial;BB;REF DI;BB Ref DI Plus Est;0;1677,31;BRL
31/01/2016;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;25000;BRL
31/01/2016;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;103,37;BRL
31/01/2016;Resgate;BB;REF DI;BB Ref DI Plus Est;16731,09;0;BRL
29/02/2016;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;6000;BRL
29/02/2016;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;89,02;BRL
29/02/2016;Resgate;BB;REF DI;BB Ref DI Plus Est;7158,62;0;BRL
31/03/2016;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;46500;BRL
31/03/2016;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;127,05;BRL
31/03/2016;Resgate;BB;REF DI;BB Ref DI Plus Est;9056,55;0;BRL
01/04/2016;Entradas;MyCap;Cash;MyCap Conta Invest;0;107,27;BRL
30/04/2016;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;9000;BRL
30/04/2016;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;406,01;BRL
30/04/2016;Resgate;BB;REF DI;BB Ref DI Plus Est;15006,63;0;BRL
31/05/2016;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;5000;BRL
31/05/2016;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;309,65;BRL
31/05/2016;Resgate;BB;REF DI;BB Ref DI Plus Est;14127,77;0;BRL
31/05/2016;Saídas;MyCap;Cash;MyCap Conta Invest;93,99;0;BRL
30/06/2016;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;8000;BRL
30/06/2016;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;327,35;BRL
30/06/2016;Resgate;BB;REF DI;BB Ref DI Plus Est;11158,08;0;BRL
30/06/2016;Saídas;MyCap;Cash;MyCap Conta Invest;13,87;0;BRL
01/07/2016;Entradas;MyCap;Cash;MyCap Conta Invest;0;66,64;BRL
31/07/2016;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;8000;BRL
31/07/2016;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;230,01;BRL
31/07/2016;Resgate;BB;REF DI;BB Ref DI Plus Est;23712,39;0;BRL
01/08/2016;Entradas;MyCap;Cash;MyCap Conta Invest;0;161,82;BRL
31/08/2016;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;8000;BRL
31/08/2016;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;119,89;BRL
31/08/2016;Resgate;BB;REF DI;BB Ref DI Plus Est;12991,24;0;BRL
01/09/2016;Entradas;MyCap;Cash;MyCap Conta Invest;0;76,74;BRL
30/09/2016;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;8000;BRL
30/09/2016;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;71,53;BRL
30/09/2016;Resgate;BB;REF DI;BB Ref DI Plus Est;12471,72;0;BRL
