prov_data;prov_corret;prov_tipo;prov_ticker;prov_valor;prov_bruto;prov_ir;prov_moeda;prov_forma
03/10/2016;MyCap;Ação;ITSA4;3;0;0;BRL;.
16/12/2016;MyCap;Ação;VALE5;70,67;0;0;BRL;.
24/04/2017;MyCap;Ação;VALE5;461,84;0;0;BRL;.
03/07/2017;MyCap;Ação;ITSA4;3;0;0;BRL;.
17/07/2017;MyCap;Ação;ABEV3;16;0;0;BRL;.
25/08/2017;MyCap;Ação;ITSA4;13,43;0;0;BRL;.
11/09/2017;MyCap;Ação;VALE3;30,58;0;0;BRL;.
02/10/2017;MyCap;Ação;ITSA4;3;0;0;BRL;.
15/01/2018;MyCap;Ação;FLRY3;11,17;0;0;BRL;.
16/02/2018;MyCap;Ação;NTCO3;154,61;0;0;BRL;.
12/03/2018;MyCap;Ação;BBAS3;62,58;0;0;BRL;.
15/03/2018;MyCap;Ação;VALE3;397,74;0;0;BRL;.
29/03/2018;MyCap;Ação;BBAS3;20,84;0;0;BRL;.
25/04/2018;MyCap;Ação;MGLU3;26,44;0;0;BRL;.
11/05/2018;MyCap;Ação;NTCO3;156,27;0;0;BRL;.
29/05/2018;MyCap;Ação;PETR4;25,5;0;0;BRL;.
30/05/2018;MyCap;Ação;BBAS3;54,56;0;0;BRL;.
26/06/2018;MyCap;Ação;CVCB3;8,36;0;0;BRL;.
23/08/2018;MyCap;Ação;PETR4;42,5;0;0;BRL;.
31/08/2018;MyCap;Ação;BBAS3;45,8;0;0;BRL;.
20/09/2018;MyCap;Ação;VALE3;1027,25;0;0;BRL;.
28/09/2018;MyCap;Ação;BBAS3;14,53;0;0;BRL;.
30/11/2018;MyCap;Ação;BBAS3;70,87;0;0;BRL;.
03/12/2018;MyCap;Ação;RADL3;13,04;0;0;BRL;.
03/12/2018;MyCap;Ação;PETR4;102;0;0;BRL;.
11/03/2019;MyCap;Ação;CIEL3;78,41;0;0;BRL;.
26/04/2019;MyCap;Ação;MGLU3;87,4;0;0;BRL;.
08/05/2019;MyCap;Ação;GOLL4;72,32;0;0;BRL;.
20/05/2019;MyCap;Ação;PETR4;7,75;0;0;BRL;.
29/05/2019;MyCap;Ação;CSNA3;65,09;0;0;BRL;.
30/05/2019;MyCap;Ação;GOAU4;8;0;0;BRL;.
31/05/2019;MyCap;Ação;RADL3;13,42;0;0;BRL;.
27/06/2019;MyCap;Ação;CIEL3;37,87;0;0;BRL;.
05/07/2019;MyCap;Ação;PETR4;34;0;0;BRL;.
29/08/2019;MyCap;Ação;GOAU4;20;0;0;BRL;.
27/09/2019;MyCap;Ação;CIEL3;12,6;0;0;BRL;.
27/09/2019;MyCap;Ação;CIEL3;0,65;0;0;BRL;.
30/09/2019;MyCap;Ação;CSNA3;89,7;0;0;BRL;.
04/10/2019;MyCap;Ação;PETR4;68;0;0;BRL;.
18/11/2019;MyCap;Ação;CIEL3;15,06;0;0;BRL;.
26/11/2019;MyCap;Ação;GOAU4;10;0;0;BRL;.
02/01/2020;MyCap;Ação;ITSA4;4;0;0;BRL;.
08/01/2020;MyCap;Ação;CVCB3;70,95;0;0;BRL;.
07/02/2020;MyCap;Ação;PETR4;211,69;0;0;BRL;.
13/02/2020;MyCap;Ação;CIEL3;10,19;0;0;BRL;.
06/03/2020;MyCap;Ação;ITSA4;124,76;0;0;BRL;.
11/03/2020;MyCap;Ação;WEGE3;57,82;0;0;BRL;.
12/03/2020;MyCap;Ação;GOAU4;10;0;0;BRL;.
19/03/2020;MyCap;Ação;MYPK3;66,41;0;0;BRL;.
01/04/2020;MyCap;Ação;ITSA4;8;0;0;BRL;.
30/04/2020;MyCap;Ação;MDIA3;21,31;0;0;BRL;.
01/07/2020;MyCap;Ação;ITSA4;16;0;0;BRL;.
05/08/2020;MyCap;Ação;CVCB3;801,66;0;0;BRL;.
07/08/2020;MyCap;Ação;VALE3;360,66;0;0;BRL;.
12/08/2020;MyCap;Ação;WEGE3;55,5;0;0;BRL;.
19/08/2020;MyCap;Ação;MGLU3;149,72;0;0;BRL;.
26/08/2020;MyCap;Ação;ITSA4;18;0;0;BRL;.
23/09/2020;MyCap;Ação;ABCB4;26,98;0;0;BRL;.
30/09/2020;MyCap;Ação;VALE3;790,26;0;0;BRL;.
01/10/2020;MyCap;Ação;ITSA4;18;0;0;BRL;.
19/11/2020;MyCap;Ação;GOAU4;35;0;0;BRL;.
15/12/2020;MyCap;Ação;PETR3;18,11;0;0;BRL;.
30/12/2020;MyCap;Ação;CSNA3;4,43;0;0;BRL;.
04/01/2021;MyCap;Ação;ITSA4;18;0;0;BRL;Dividendos
14/01/2021;MyCap;Ação;ABCB4;21,12;0;0;BRL;Dividendos
17/02/2021;MyCap;Ação;CIEL3;4,96;0;0;BRL;Dividendos
17/02/2021;MyCap;Ação;CIEL3;42,81;0;0;BRL;JCP
18/02/2021;MyCap;Ação;ABCB4;57,49;0;0;BRL;JCP
03/03/2021;MyCap;Ação;BBAS3;0,11;0;0;BRL;Rendimentos
03/03/2021;MyCap;Ação;BBAS3;36,94;0;0;BRL;JCP
08/03/2021;MyCap;Ação;RDOR3;8,92;0;0;BRL;JCP
10/03/2021;MyCap;Ação;WEGE3;8,79;0;0;BRL;JCP
10/03/2021;MyCap;Ação;WEGE3;3,13;0;0;BRL;JCP
12/03/2021;MyCap;Ação;ITSA4;93,68;0;0;BRL;JCP
26/03/2021;MyCap;Ação;GOAU4;38,25;0;0;BRL;JCP
31/03/2021;MyCap;Ação;BBAS3;12,39;0;0;BRL;JCP
01/04/2021;MyCap;Ação;ITSA4;20;0;0;BRL;Dividendos
29/04/2021;MyCap;Ação;PETR4;1,25;0;0;BRL;Rendimentos
29/04/2021;MyCap;Ação;PETR4;236,23;0;0;BRL;JCP
05/05/2021;MyCap;Ação;MGLU3;71,54;0;0;BRL;JCP
11/05/2021;MyCap;Ação;GOLL4;8,34;0;0;BRL;.
12/05/2021;MyCap;Ação;CSNA3;130,58;0;0;BRL;Dividendos
13/05/2021;MyCap;Ação;CIEL3;24,12;0;0;BRL;JCP
28/05/2021;MyCap;Ação;BBAS3;28,91;0;0;BRL;JCP
28/05/2021;MyCap;Ação;BBAS3;7,43;0;0;BRL;Dividendos
31/05/2021;MyCap;Ação;RADL3;4,84;0;0;BRL;JCP
31/05/2021;MyCap;Ação;ALUP11;60;0;0;BRL;Dividendos
28/06/2021;MyCap;Ação;CVCB3;112,32;0;0;BRL;.
30/06/2021;MyCap;Ação;BBAS3;14,33;0;0;BRL;JCP
30/06/2021;MyCap;Ação;VALE3;218,96;0;0;BRL;Dividendos
01/07/2021;MyCap;Ação;ITSA4;2;0;0;BRL;Dividendos
10/08/2021;MyCap;Ação;CSNA3;253,6;0;0;BRL;Dividendos
11/08/2021;MyCap;Ação;WEGE3;63,27;0;0;BRL;Dividendos
11/08/2021;MyCap;Ação;WEGE3;3,49;0;0;BRL;JCP
19/08/2021;MyCap;Ação;CIEL3;18,03;0;0;BRL;JCP
25/08/2021;MyCap;Ação;PETR4;482,97;0;0;BRL;Dividendos
26/08/2021;MyCap;Ação;ITSA4;30,85;0;0;BRL;JCP
30/08/2021;MyCap;Ação;ALUP11;60;0;0;BRL;Dividendos
31/08/2021;MyCap;Ação;BBAS3;0,21;0;0;BRL;Rendimentos
31/08/2021;MyCap;Ação;BBAS3;29,37;0;0;BRL;JCP
